Field,Type,Null,Key,Default,Extra
Team,varchar(10),YES,,NULL,
AnalysisTypeID,int(11),YES,,NULL,
EventID,int(11),YES,,NULL,
Match1Display,varchar(10),YES,,NULL,
Match1Format,int(11),YES,,NULL,
Match1Value,float,YES,,NULL,
Match2Display,varchar(10),YES,,NULL,
Match2Format,int(11),YES,,NULL,
Match2Value,float,YES,,NULL,
Match3Display,varchar(10),YES,,NULL,
Match3Format,int(11),YES,,NULL,
Match3Value,float,YES,,NULL,
Match4Display,varchar(10),YES,,NULL,
Match4Format,int(11),YES,,NULL,
Match4Value,float,YES,,NULL,
Match5Display,varchar(10),YES,,NULL,
Match5Format,int(11),YES,,NULL,
Match5Value,float,YES,,NULL,
Match6Display,varchar(10),YES,,NULL,
Match6Format,int(11),YES,,NULL,
Match6Value,float,YES,,NULL,
Match7Display,varchar(10),YES,,NULL,
Match7Format,int(11),YES,,NULL,
Match7Value,float,YES,,NULL,
Match8Display,varchar(10),YES,,NULL,
Match8Format,int(11),YES,,NULL,
Match8Value,float,YES,,NULL,
Match9Display,varchar(10),YES,,NULL,
Match9Format,int(11),YES,,NULL,
Match9Value,float,YES,,NULL,
Match10Display,varchar(10),YES,,NULL,
Match10Format,int(11),YES,,NULL,
Match10Value,float,YES,,NULL,
Match11Display,varchar(10),YES,,NULL,
Match11Format,int(11),YES,,NULL,
Match11Value,float,YES,,NULL,
Match12Display,varchar(10),YES,,NULL,
Match12Format,int(11),YES,,NULL,
Match12Value,float,YES,,NULL,
Summary1Display,varchar(10),YES,,NULL,
Summary1Format,int(11),YES,,NULL,
Summary1Value,float,YES,,NULL,
Summary2Display,varchar(10),YES,,NULL,
Summary2Format,int(11),YES,,NULL,
Summary2Value,float,YES,,NULL,
Summary3Display,varchar(10),YES,,NULL,
Summary3Format,int(11),YES,,NULL,
Summary3Value,float,YES,,NULL,
Summary4Display,varchar(10),YES,,NULL,
Summary4Format,int(11),YES,,NULL,
Summary4Value,float,YES,,NULL,
Minimum,float,YES,,NULL,
Maximum,float,YES,,NULL,
Percent,float,YES,,NULL,
