Field,Type,Null,Key,Default,Extra
MatchScoutingID,int(11),NO,PRI,NULL,auto_increment
EventID,int(11),NO,,NULL,
MatchID,int(11),NO,,NULL,
ComputerID,int(11),YES,,NULL,
ScouterID,int(11),YES,,NULL,
ReviewerID,int(11),YES,,NULL,
ScoutingStatus,int(11),YES,,NULL,
Team,varchar(10),NO,,NULL,
TeamMatchNo,int(11),YES,,NULL,
AllianceStationID,int(11),YES,,NULL,
AutoStartPos,int(11),YES,,NULL,
AutoDidNotShow,int(11),YES,,NULL,
AutoMoveBonus,int(11),YES,,NULL,
AutoBallLow,int(11),YES,,0,
AutoBallOuter,int(11),YES,,0,
AutoBallInner,int(11),YES,,0,
AutoPenalty,int(11),YES,,0,
TeleBallLowZone1,int(11),YES,,0,
TeleBallOuterZone1,int(11),YES,,0,
TeleBallInnerZone1,int(11),YES,,0,
TeleBallOuterZone2,int(11),YES,,0,
TeleBallInnerZone2,int(11),YES,,0,
TeleBallOuterZone3,int(11),YES,,0,
TeleBallInnerZone3,int(11),YES,,0,
TeleBallOuterZone4,int(11),YES,,0,
TeleBallInnerZone4,int(11),YES,,0,
TeleBallOuterZone5,int(11),YES,,0,
TeleBallInnerZone5,int(11),YES,,0,
TeleWheelStage2Time,int(11),YES,,NULL,
TeleWheelStage2Status,int(11),YES,,0,
TeleWheelStage2Attempts,int(11),YES,,0,
TeleWheelStage3Time,int(11),YES,,NULL,
TeleWheelStage3Status,int(11),YES,,0,
TeleWheelStage3Attempts,int(11),YES,,0,
ClimbStatus,int(11),YES,,0,
ClimbHeight,int(11),YES,,0,
ClimbPosition,int(11),YES,,0,
ClimbMoveOnBar,int(11),YES,,0,
ClimbLevelStatus,int(11),YES,,0,
SummBrokeDown,int(11),YES,,0,
SummLostComm,int(11),YES,,0,
SummSubSystemBroke,int(11),YES,,0,
SummGroundPickup,int(11),YES,,0,
SummHopperLoad,int(11),YES,,0,
SummPlayedDefense,int(11),YES,,0,
SummDefPlayedAgainst,int(11),YES,,0,
