Field,Type,Null,Key,Default,Extra
Team,int(11),NO,PRI,NULL,
TeamName,varchar(50),YES,,NULL,
TeamLocation,varchar(50),YES,,NULL,
NumWheels,int(11),YES,,NULL,
NumDriveMotors,int(11),YES,,NULL,
WheelTypeID,int(11),YES,,NULL,
DriveTypeID,int(11),YES,,NULL,
MotorTypeID,int(11),YES,,NULL,
LanguageID,int(11),YES,,NULL,
Speed,int(11),YES,,NULL,
GearRatio,varchar(10),YES,,NULL,
NumGearSpeed,int(11),YES,,NULL,
RobotLength,int(11),YES,,NULL,
RobotWidth,int(11),YES,,NULL,
RobotHeight,int(11),YES,,NULL,
RobotWeight,int(11),YES,,NULL,
Pneumatics,tinyint(1),YES,,NULL,
NumPreload,int(11),YES,,NULL,
AutoBallsScored,int(11),YES,,NULL,
MoveBonus,tinyint(1),YES,,NULL,
AutoPickUp,tinyint(1),YES,,NULL,
AutoStartPosID,int(11),YES,,NULL,
AutoSummary,varchar(1024),YES,,NULL,
TeleBallsScored,int(11),YES,,NULL,
MaxBallCapacity,int(11),YES,,NULL,
ColorWheel,tinyint(1),YES,,NULL,
TeleDefense,tinyint(1),YES,,NULL,
TeleDefenseEvade,tinyint(1),YES,,NULL,
TeleStrategy,varchar(1024),YES,,NULL,
CanClimb,tinyint(1),YES,,NULL,
CenterClimb,tinyint(1),YES,,NULL,
CanMoveOnBar,tinyint(1),YES,,NULL,
LockingMechanism,tinyint(1),YES,,NULL,
ClimbHeightID,int(11),YES,,NULL,
